Place of Interest,Type of place,Place address,BiciMAD station,Station locaiton,Available bikes
Fuente de Sevilla,Monuments,GLORIETA SEVILLA ,85 - Puerta de Madrid,Avenida de Menéndez Pelayo esquina calle O'Donnell,7
Francisco de Paula Martí Mora,Monuments,Pº El Salvador ,85 - Puerta de Madrid,Avenida de Menéndez Pelayo esquina calle O'Donnell,7
Ruperto Chapí,Monuments,Pº Duque de Fernán Núñez ,85 - Puerta de Madrid,Avenida de Menéndez Pelayo esquina calle O'Donnell,7
Cuba,Monuments,PASEO EL SALVADOR ,85 - Puerta de Madrid,Avenida de Menéndez Pelayo esquina calle O'Donnell,7
General Martínez Campos,Monuments,Pza Guatemala ,85 - Puerta de Madrid,Avenida de Menéndez Pelayo esquina calle O'Donnell,7
Estanque óvalo del Retiro,Monuments,Pº Panamá ,85 - Puerta de Madrid,Avenida de Menéndez Pelayo esquina calle O'Donnell,7
Ría Norte y estanque de la Montaña Artificial del Retiro,Monuments,Pº Duque de Fernán Núñez ,85 - Puerta de Madrid,Avenida de Menéndez Pelayo esquina calle O'Donnell,7
Puerta de la América Española del Retiro,Monuments,Pza Menéndez Pelayo 10,85 - Puerta de Madrid,Avenida de Menéndez Pelayo esquina calle O'Donnell,7
Puerta de O´Donnell del Retiro,Monuments,C O'Donnell ,85 - Puerta de Madrid,Avenida de Menéndez Pelayo esquina calle O'Donnell,7
Justo Arosemena,Monuments,Pº Panamá ,85 - Puerta de Madrid,Avenida de Menéndez Pelayo esquina calle O'Donnell,7
Montaña Artificial del Retiro,Monuments,Pº Duque de Fernán Núñez ,85 - Puerta de Madrid,Avenida de Menéndez Pelayo esquina calle O'Donnell,7
Casa del Pescador del Retiro,Monuments,Pº Duque de Fernán Núñez ,85 - Puerta de Madrid,Avenida de Menéndez Pelayo esquina calle O'Donnell,7
Ruinas de la ermita de san Pelayo y san Isidoro,Monuments, ,85 - Puerta de Madrid,Avenida de Menéndez Pelayo esquina calle O'Donnell,7
Virgen de los Reyes,Monuments,Gta Sevilla ,85 - Puerta de Madrid,Avenida de Menéndez Pelayo esquina calle O'Donnell,7
Consuelo Rubio,Monuments,C O'Donnell 11,85 - Puerta de Madrid,Avenida de Menéndez Pelayo esquina calle O'Donnell,7
Escultura a la  Universidad en Cantoblanco,Monuments,CIUDAD UNIVERSITARIA AUTONOMA ,217 - Pedro Rico,Calle Pedro Rico nº 4,0
Santiago Ramón y Cajal,Monuments,CALLE SAN MODESTO 1,217 - Pedro Rico,Calle Pedro Rico nº 4,0
Sagrado Corazón de Jesús,Monuments,PLAZA MADRE MARIA ANA MOGAS 12,217 - Pedro Rico,Calle Pedro Rico nº 4,0
La Paz,Monuments,Pº Castellana 261,217 - Pedro Rico,Calle Pedro Rico nº 4,0
Grupo escultórico a la Universidad en Cantoblanco,Monuments, ,217 - Pedro Rico,Calle Pedro Rico nº 4,0
Serie escultórica en la Universidad de Cantoblanco,Monuments, ,217 - Pedro Rico,Calle Pedro Rico nº 4,0
Mirasierra,Monuments,CALLE NURIA 29,217 - Pedro Rico,Calle Pedro Rico nº 4,0
Fuente del Hospital La Paz,Monuments,Pº Castellana 261,217 - Pedro Rico,Calle Pedro Rico nº 4,0
Monumento a los caídos de Fuencarral,Monuments,PLAZA MADRE MARIA ANA MOGAS 2,217 - Pedro Rico,Calle Pedro Rico nº 4,0
Thomas Alva Edison,Monuments, ,217 - Pedro Rico,Calle Pedro Rico nº 4,0
Escudo Casa Parroquial San Miguel Arcángel,Monuments,CALLE ISLAS BERMUDAS 28,217 - Pedro Rico,Calle Pedro Rico nº 4,0
Máquina de vapor,Monuments, ,217 - Pedro Rico,Calle Pedro Rico nº 4,0
Lázaro Cárdenas,Monuments,Pza Lázaro Cárdenas ,217 - Pedro Rico,Calle Pedro Rico nº 4,0
Almirante Miguel Grau,Monuments, ,217 - Pedro Rico,Calle Pedro Rico nº 4,0
León Felipe,Monuments, ,217 - Pedro Rico,Calle Pedro Rico nº 4,0
Juan Santamaría,Monuments,Pza Juan Santamaría ,217 - Pedro Rico,Calle Pedro Rico nº 4,0
Estanque con surtidor del parque Norte,Monuments,C Arzobispo Morcillo ,217 - Pedro Rico,Calle Pedro Rico nº 4,0
Fuente del parque Fuencarral,Monuments, ,217 - Pedro Rico,Calle Pedro Rico nº 4,0
Héroes de la Independencia de 1808,Monuments,C Isla de Java ,217 - Pedro Rico,Calle Pedro Rico nº 4,0
Plaza de Juan Santamaría,Monuments,Pza Juan Santamaría ,217 - Pedro Rico,Calle Pedro Rico nº 4,0
Monolito de Pizarra I,Monuments,Avda Monforte de Lemos ,217 - Pedro Rico,Calle Pedro Rico nº 4,0
Colegio Príncipe Felipe,Monuments,AVENIDA MONFORTE DE LEMOS 24,217 - Pedro Rico,Calle Pedro Rico nº 4,0
Homenaje a Miró,Monuments, ,217 - Pedro Rico,Calle Pedro Rico nº 4,0
Princesa de Yaiza,Monuments, ,217 - Pedro Rico,Calle Pedro Rico nº 4,0
Ana Tutor,Monuments,Avda Ventisquero de la Condesa ,217 - Pedro Rico,Calle Pedro Rico nº 4,0
Puerta de la Ilustración,Monuments,C Ginzo de Limia ,217 - Pedro Rico,Calle Pedro Rico nº 4,0
Mirasierra Suites Hotel,Monuments,C Alfredo Marqueríe 43,217 - Pedro Rico,Calle Pedro Rico nº 4,0
Maestro Guillermo Valencia,Monuments,Avda Séneca 6,112 - Paseo de Moret,Paseo de Moret nº 11,13
Miguel Antonio Caro,Monuments,Avda Séneca 6,112 - Paseo de Moret,Paseo de Moret nº 11,13
Hernán Cortés,Monuments,Avda Séneca 4,112 - Paseo de Moret,Paseo de Moret nº 11,13
Santísima Virgen,Monuments,PASEO CAMOENS Y VALERO ,112 - Paseo de Moret,Paseo de Moret nº 11,13
Inauguración Colegio Mayor Iberoamericano Nuestra Señora de Guadalupe,Monuments,Avda Séneca 6,112 - Paseo de Moret,Paseo de Moret nº 11,13
José Gervasio Artigas,Monuments,PASEO RUPERTO CHAPI ,112 - Paseo de Moret,Paseo de Moret nº 11,13
Simón Bolívar,Monuments, ,112 - Paseo de Moret,Paseo de Moret nº 11,13
Eugenio María de Hostos,Monuments, ,112 - Paseo de Moret,Paseo de Moret nº 11,13
"Jaime I El Conquistador, Rey de Aragón",Monuments,C Francisco y Jacinto Alcántara ,112 - Paseo de Moret,Paseo de Moret nº 11,13
Mariscal Santa Cruz Calahumana,Monuments,Avda Séneca ,112 - Paseo de Moret,Paseo de Moret nº 11,13
Concepción Arenal,Monuments,Pº Moret ,112 - Paseo de Moret,Paseo de Moret nº 11,13
Elena Fortún,Monuments,PASEO RUPERTO CHAPI ,112 - Paseo de Moret,Paseo de Moret nº 11,13
Escultura Puerta de Madrid,Monuments, ,112 - Paseo de Moret,Paseo de Moret nº 11,13
Miguel Hidalgo,Monuments, ,112 - Paseo de Moret,Paseo de Moret nº 11,13
Al Maestro,Monuments, ,112 - Paseo de Moret,Paseo de Moret nº 11,13
Miguel Hernández,Monuments,Pº Ruperto Chapí ,112 - Paseo de Moret,Paseo de Moret nº 11,13
Estanque con surtidor y ría del parque del Oeste,Monuments,PASEO RUPERTO CHAPI ,112 - Paseo de Moret,Paseo de Moret nº 11,13
Juan de Villanueva,Monuments,Pº Camoens y Valero ,112 - Paseo de Moret,Paseo de Moret nº 11,13
Enrique Tierno Galván,Monuments,C Ferraz 79,112 - Paseo de Moret,Paseo de Moret nº 11,13
Mapa Península Ibérica,Monuments, ,112 - Paseo de Moret,Paseo de Moret nº 11,13
Fuente de la colonia Manzanares,Monuments,C Ribera del Manzanares ,112 - Paseo de Moret,Paseo de Moret nº 11,13
Eugenio de Santa Cruz y Espejo,Monuments,PASEO CAMOENS Y VALERO 2,112 - Paseo de Moret,Paseo de Moret nº 11,13
Juan Pablo Duarte y Díez,Monuments, ,112 - Paseo de Moret,Paseo de Moret nº 11,13
Francisco de Asis de Borbón,Monuments,PASEO VIRGEN DEL PUERTO 1,161 - Paseo de la Florida,Paseo de la Florida nº 8,18
Sagrado Corazón de Jesús,Monuments,GLORIETA SAN ANTONIO DE LA FLORIDA 1,161 - Paseo de la Florida,Paseo de la Florida nº 8,18
El Bosque de los Tótems,Monuments,Pº Florida 2,161 - Paseo de la Florida,Paseo de la Florida nº 8,18
Francisco de Goya,Monuments,Gta San Antonio de la Florida ,161 - Paseo de la Florida,Paseo de la Florida nº 8,18
Fuente Casa de Campo,Monuments, ,161 - Paseo de la Florida,Paseo de la Florida nº 8,18
Fuente de las Moreras,Monuments,Gta Puerta Moreras ,161 - Paseo de la Florida,Paseo de la Florida nº 8,18
Fuente de la Piña en la Casa de Campo,Monuments,Pº Torrecilla ,161 - Paseo de la Florida,Paseo de la Florida nº 8,18
Fuente en la glorieta Puerta Moreras,Monuments,Gta Puerta Moreras ,161 - Paseo de la Florida,Paseo de la Florida nº 8,18
San Pol de Mar,Monuments,C San Pol de Mar ,161 - Paseo de la Florida,Paseo de la Florida nº 8,18
Escudo de la Villa,Monuments,Gta Puerta del Río (Parque de la Casa de Campo) ,161 - Paseo de la Florida,Paseo de la Florida nº 8,18
Puerta de San Vicente,Monuments,Gta San Vicente ,161 - Paseo de la Florida,Paseo de la Florida nº 8,18
Virgen del Carmen San Pol de Mar,Monuments,C San Pol de Mar ,161 - Paseo de la Florida,Paseo de la Florida nº 8,18
Seis columnas jónicas,Monuments,C Aniceto Marinas 60,161 - Paseo de la Florida,Paseo de la Florida nº 8,18
Puerta del Rey,Monuments,Pº Marqués de Monistrol ,161 - Paseo de la Florida,Paseo de la Florida nº 8,18
Puerta del Reservado Grande,Monuments,Pº Marqués de Monistrol ,161 - Paseo de la Florida,Paseo de la Florida nº 8,18
Galería de grutas del jardín de Felipe II,Monuments,Pº Embarcadero ,161 - Paseo de la Florida,Paseo de la Florida nº 8,18
Explanada de la Selección Española de Fútbol,Monuments, Explanada de la Selección Española de Fútbol ,161 - Paseo de la Florida,Paseo de la Florida nº 8,18
Puerta San Vicente. Panel informativo,Monuments,Gta San Vicente ,161 - Paseo de la Florida,Paseo de la Florida nº 8,18
Túnel de Bonaparte. Panel informativo,Monuments,Pº Ermita de la Virgen del Puerto ,161 - Paseo de la Florida,Paseo de la Florida nº 8,18
Jaime I El Conquistador,Monuments, ,30 - San Quintín,Calle Pavía nº 6,16
Alonso III,Monuments,Pza Oriente ,30 - San Quintín,Calle Pavía nº 6,16
Alonso V,Monuments,Pza Oriente ,30 - San Quintín,Calle Pavía nº 6,16
Alfonso VI,Monuments, ,30 - San Quintín,Calle Pavía nº 6,16
Alfonso VIII,Monuments, ,30 - San Quintín,Calle Pavía nº 6,16
Antonio Cánovas del Castillo,Monuments,Pza Marina Española ,30 - San Quintín,Calle Pavía nº 6,16
Carolus III Hispaniarum Rex,Monuments, ,30 - San Quintín,Calle Pavía nº 6,16
Felipe II,Monuments, ,30 - San Quintín,Calle Pavía nº 6,16
Felipe IV,Monuments,Pza Oriente ,30 - San Quintín,Calle Pavía nº 6,16
Fernando I,Monuments,Pza Oriente ,30 - San Quintín,Calle Pavía nº 6,16
Fernando III El Santo,Monuments, ,30 - San Quintín,Calle Pavía nº 6,16
Fernando V El Católico,Monuments, ,30 - San Quintín,Calle Pavía nº 6,16
Fernán González 1er Conde Independiente de Castilla,Monuments,Pza Oriente ,30 - San Quintín,Calle Pavía nº 6,16
Félix Lope de Vega Carpio,Monuments,Pza Encarnación ,30 - San Quintín,Calle Pavía nº 6,16
Cabo Luis Noval,Monuments, ,30 - San Quintín,Calle Pavía nº 6,16
Ordoño I,Monuments,Pza Oriente ,30 - San Quintín,Calle Pavía nº 6,16
Ordoño II,Monuments,Pza Oriente ,30 - San Quintín,Calle Pavía nº 6,16
Ramiro I. Primer Rey de Aragón,Monuments,Pza Oriente ,30 - San Quintín,Calle Pavía nº 6,16
Ramiro II. Rey de León,Monuments,Pza Oriente ,30 - San Quintín,Calle Pavía nº 6,16
Sancha. Reina de León,Monuments,Pza Oriente ,30 - San Quintín,Calle Pavía nº 6,16
Wifredo. El Velloso,Monuments,Pza Oriente ,30 - San Quintín,Calle Pavía nº 6,16
Fuentes de la plaza de Oriente,Monuments,Pza Oriente ,30 - San Quintín,Calle Pavía nº 6,16
Héroes del Dos de Mayo,Monuments,C Bailén ,30 - San Quintín,Calle Pavía nº 6,16
Hilarión Eslava y Emilio Arrieta,Monuments,C San Quintín 8,30 - San Quintín,Calle Pavía nº 6,16
Julián Gayarre,Monuments,CALLE PAVIA 2,30 - San Quintín,Calle Pavía nº 6,16
Jose Gomez 'Gallito',Monuments,C Arrieta 14,30 - San Quintín,Calle Pavía nº 6,16
Ramón Gómez de la Serna,Monuments,C Guillermo Rolland 7,30 - San Quintín,Calle Pavía nº 6,16
Jesús de Monasterio y Agüeros,Monuments,C Bailén 11,30 - San Quintín,Calle Pavía nº 6,16
Amado Nervo,Monuments,C Bailén 15,30 - San Quintín,Calle Pavía nº 6,16
Juan Valera y Alcalá Galiano,Monuments,Ctra Santo Domingo 3,30 - San Quintín,Calle Pavía nº 6,16
Josefina Romo,Monuments,C Arrieta 14,30 - San Quintín,Calle Pavía nº 6,16
Julián Gayarre,Monuments,PLAZA ORIENTE 6,30 - San Quintín,Calle Pavía nº 6,16
Lapida prohibición (fachada convento de la Encarnación),Monuments,Pza Encarnación 1,30 - San Quintín,Calle Pavía nº 6,16
Restos de cerca en la calle Bailén,Monuments,C Bailén 3,30 - San Quintín,Calle Pavía nº 6,16
Isabel la Católica,Monuments, ,30 - San Quintín,Calle Pavía nº 6,16
Escultura ecuestre alegórica I Jardines de Sabatini,Monuments, ,30 - San Quintín,Calle Pavía nº 6,16
Escultura ecuestre alegórica II Jardines de Sabatini,Monuments, ,30 - San Quintín,Calle Pavía nº 6,16
Estanque central Sabatini,Monuments, ,30 - San Quintín,Calle Pavía nº 6,16
Fuentes gemelas de los jardines de Sabatini,Monuments, ,30 - San Quintín,Calle Pavía nº 6,16
Real Monasterio de la Encarnación,Monuments,Pza Encarnación 1,30 - San Quintín,Calle Pavía nº 6,16
Juan Pablo II,Monuments,C Bailén ,166 - Segovia 26,Calle Segovia nº 26,8
Mariano José de Larra,Monuments,C Bailén ,166 - Segovia 26,Calle Segovia nº 26,8
Atentado boda real Alfonso XIII,Monuments,C Mayor 79,166 - Segovia 26,Calle Segovia nº 26,8
Fuente pilón Cuesta Ciegos,Monuments,Ctra Ciegos ,166 - Segovia 26,Calle Segovia nº 26,8
Fuente mural en la Cuesta de la Vega,Monuments,Gta Boccherini ,166 - Segovia 26,Calle Segovia nº 26,8
Estanque rectangular Vistillas,Monuments,Pza Gabriel Miró ,166 - Segovia 26,Calle Segovia nº 26,8
Humanistas Españoles,Monuments,C Villa 2,166 - Segovia 26,Calle Segovia nº 26,8
Virgen de la Almudena (Réplica),Monuments,Cta Vega ,166 - Segovia 26,Calle Segovia nº 26,8
Miguel de Cervantes,Monuments,C Villa 2,166 - Segovia 26,Calle Segovia nº 26,8
Iglesia Santa María la Real de la Almudena,Monuments,C Mayor 88,166 - Segovia 26,Calle Segovia nº 26,8
Fuente mural en la calle Segovia,Monuments,C Segovia 23,166 - Segovia 26,Calle Segovia nº 26,8
Escudo de Madrid en piedra calle Segovia,Monuments,C Segovia 21,166 - Segovia 26,Calle Segovia nº 26,8
Escudo de Madrid en mosaico,Monuments,C Segovia ,166 - Segovia 26,Calle Segovia nº 26,8
Restos arqueológicos iglesia Almudena,Monuments,C Almudena ,166 - Segovia 26,Calle Segovia nº 26,8
Maqueta iglesia Almudena,Monuments,C Almudena ,166 - Segovia 26,Calle Segovia nº 26,8
El Vecino Curioso,Monuments,C Almudena ,166 - Segovia 26,Calle Segovia nº 26,8
Muralla islámica,Monuments,Pza Emir Mohamed I ,166 - Segovia 26,Calle Segovia nº 26,8
La Violetera,Monuments,Pza Gabriel Miró 1,166 - Segovia 26,Calle Segovia nº 26,8
Fuente del parque Emir Mohamed I,Monuments, ,166 - Segovia 26,Calle Segovia nº 26,8
Maqueta muralla islámica,Monuments,Cta Cuesta de la Vega ,166 - Segovia 26,Calle Segovia nº 26,8
Paulus,Monuments,PLAZA ARMERIA 1,166 - Segovia 26,Calle Segovia nº 26,8
Petrus,Monuments,Pza Armería ,36 - Plaza Ramales,Plaza de Ramales,10
Alonso I,Monuments,PLAZA ORIENTE 1,36 - Plaza Ramales,Plaza de Ramales,10
Alonso II,Monuments,Pza Oriente ,36 - Plaza Ramales,Plaza de Ramales,10
Íñigo Arista,Monuments,Pza Oriente ,36 - Plaza Ramales,Plaza de Ramales,10
Ataulfo,Monuments,Pza Oriente ,36 - Plaza Ramales,Plaza de Ramales,10
Eurico,Monuments,Pza Oriente ,36 - Plaza Ramales,Plaza de Ramales,10
Leovigildo,Monuments,Pza Oriente ,36 - Plaza Ramales,Plaza de Ramales,10
Capitán Ángel Melgar,Monuments, ,36 - Plaza Ramales,Plaza de Ramales,10
"Pelayo, Rey de Asturias",Monuments,Pza Oriente ,36 - Plaza Ramales,Plaza de Ramales,10
Ramiro I,Monuments,Pza Oriente ,36 - Plaza Ramales,Plaza de Ramales,10
Suintila,Monuments,Pza Oriente ,36 - Plaza Ramales,Plaza de Ramales,10
Wamba,Monuments,Pza Oriente ,36 - Plaza Ramales,Plaza de Ramales,10
Gaspar Núñez de Arce,Monuments,C Cruzada 4,36 - Plaza Ramales,Plaza de Ramales,10
Monolito a Diego Velázquez,Monuments,Pza Ramales ,36 - Plaza Ramales,Plaza de Ramales,10
Fuente mural de la plaza Biombo,Monuments,Pza Biombo 4,36 - Plaza Ramales,Plaza de Ramales,10
Restos iglesia San Juan Bautista,Monuments,Pza Ramales ,36 - Plaza Ramales,Plaza de Ramales,10
Plaza de Oriente,Monuments,Pza Oriente 1,36 - Plaza Ramales,Plaza de Ramales,10
Batalla de Lepanto,Monuments,C Lepanto 2,36 - Plaza Ramales,Plaza de Ramales,10
Iglesia parroquial de San Juan,Monuments,Pza Ramales 1,36 - Plaza Ramales,Plaza de Ramales,10
Monasterio de Santa Clara,Monuments,C Santiago 24,36 - Plaza Ramales,Plaza de Ramales,10
Iglesia parroquial de Santiago,Monuments,C Santiago 4,36 - Plaza Ramales,Plaza de Ramales,10
Frases en pavimento urbano eje Museo del Prado- Palacio de Oriente,Monuments,Pza Ángel 9,36 - Plaza Ramales,Plaza de Ramales,10
Valle-Inclán. Cueva de Zaratustra,Monuments,C Mayor 84,36 - Plaza Ramales,Plaza de Ramales,10
Francisco Piquer,Monuments,Pza Descalzas ,25a - Plaza de Celenque A,Plaza de Celenque nº 1,0
Marqués Viudo de Pontejos,Monuments,Pza Descalzas ,25a - Plaza de Celenque A,Plaza de Celenque nº 1,0
Pinturas murales Pasaje Pleyel,Monuments,C Mayor 6,25a - Plaza de Celenque A,Plaza de Celenque nº 1,0
Partido Socialista Obrero Español,Monuments,C Tetuán 12,25a - Plaza de Celenque A,Plaza de Celenque nº 1,0
Claudio Sánchez Albornoz,Monuments,PLAZA CELENQUE 1,25a - Plaza de Celenque A,Plaza de Celenque nº 1,0
Mariblanca. Réplica Puerta del Sol,Monuments,Pza Puerta del Sol ,25a - Plaza de Celenque A,Plaza de Celenque nº 1,0
Marqués de Villena,Monuments,PLAZA DESCALZAS 1,25a - Plaza de Celenque A,Plaza de Celenque nº 1,0
Cavanilles,Monuments,Pza Murillo 2,81 - Cuesta de Moyano,Cuesta de Claudio Moyano,9
Lagasca,Monuments,Pza Murillo 2,81 - Cuesta de Moyano,Cuesta de Claudio Moyano,9
Claudio Moyano,Monuments,C Claudio Moyano ,81 - Cuesta de Moyano,Cuesta de Claudio Moyano,9
Fuente nueva de la Alcachofa,Monuments,Pza Emperador Carlos V ,81 - Cuesta de Moyano,Cuesta de Claudio Moyano,9
Niños con jarrón en Atocha,Monuments,Pza Emperador Carlos V ,81 - Cuesta de Moyano,Cuesta de Claudio Moyano,9
Simón de Rojas Clemente,Monuments,Pza Murillo 2,68 - Espalter,Calle Espalter nº 1,14
Quer,Monuments,Pza Murillo 2,68 - Espalter,Calle Espalter nº 1,14
Fuentecillas del Jardín Botánico,Monuments,Pza Murillo 2,68 - Espalter,Calle Espalter nº 1,14
Fuentes estrelladas del Jardín Botánico,Monuments,Pza Murillo 2,68 - Espalter,Calle Espalter nº 1,14
Puerta norte del Jardín Botánico,Monuments,Pza Murillo 2,68 - Espalter,Calle Espalter nº 1,14
Goya,Monuments,C Felipe IV ,68 - Espalter,Calle Espalter nº 1,14
Murillo,Monuments,Pza Murillo ,68 - Espalter,Calle Espalter nº 1,14
Velázquez,Monuments,Pº Prado ,68 - Espalter,Calle Espalter nº 1,14
Alférez Provisional,Monuments,CALLE FELIPE IV 1,68 - Espalter,Calle Espalter nº 1,14
Puerta de Murillo del Retiro,Monuments,C Alfonso XII ,68 - Espalter,Calle Espalter nº 1,14
Un pintor para El Prado,Monuments,C Ruiz de Alarcón ,68 - Espalter,Calle Espalter nº 1,14
Rey astur-leonés,Monuments,C Méndez Núñez 1,65 - Antonio Maura,Calle Antonio Maura nº 15,6
Rey astur-leonés,Monuments,C Méndez Núñez 1,65 - Antonio Maura,Calle Antonio Maura nº 15,6
Rey godo anterior a Leovigildo,Monuments,C Méndez Núñez 1,65 - Antonio Maura,Calle Antonio Maura nº 15,6
Rey astur-leonés (probablemente Fruela I),Monuments,C Méndez Núñez 1,65 - Antonio Maura,Calle Antonio Maura nº 15,6
Felipe IV,Monuments,C Méndez Núñez 1,65 - Antonio Maura,Calle Antonio Maura nº 15,6
Luis I de España,Monuments,C Méndez Núñez 1,65 - Antonio Maura,Calle Antonio Maura nº 15,6
Alonso I El Batallador,Monuments,Pº República Argentina ,65 - Antonio Maura,Calle Antonio Maura nº 15,6
Berenguela,Monuments,Pº República Argentina ,65 - Antonio Maura,Calle Antonio Maura nº 15,6
Carlos I de España y V de Alemania,Monuments,Pº República Argentina ,65 - Antonio Maura,Calle Antonio Maura nº 15,6
Carlos II,Monuments,Pº República Argentina ,65 - Antonio Maura,Calle Antonio Maura nº 15,6
Enrique II,Monuments,Pº República Argentina ,65 - Antonio Maura,Calle Antonio Maura nº 15,6
Fernando IV,Monuments,Pº República Argentina ,65 - Antonio Maura,Calle Antonio Maura nº 15,6
Gundemaro,Monuments,Pº República Argentina ,65 - Antonio Maura,Calle Antonio Maura nº 15,6
María Cristina de Borbón-Dos Sicilias,Monuments,C Felipe IV ,65 - Antonio Maura,Calle Antonio Maura nº 15,6
Sancho IV,Monuments,Pº República Argentina ,65 - Antonio Maura,Calle Antonio Maura nº 15,6
Sancho IV. El Bravo,Monuments,PASEO ARGENTINA 2,65 - Antonio Maura,Calle Antonio Maura nº 15,6
Fuente de la Alcachofa,Monuments,Pza Honduras ,65 - Antonio Maura,Calle Antonio Maura nº 15,6
Estanque de las Campanillas,Monuments,Pº Paraguay ,65 - Antonio Maura,Calle Antonio Maura nº 15,6
Fuentes de la Alcachofa del Parterre,Monuments,Pº Parterre ,65 - Antonio Maura,Calle Antonio Maura nº 15,6
Puerta de España del Retiro,Monuments,C Alfonso XII ,65 - Antonio Maura,Calle Antonio Maura nº 15,6
Puerta de Felipe IV del Retiro,Monuments,C Alfonso XII 3,65 - Antonio Maura,Calle Antonio Maura nº 15,6
Mariano Carderera y Potó,Monuments,C Moreto 1,65 - Antonio Maura,Calle Antonio Maura nº 15,6
Jarrones Franceses del Parterre,Monuments,Pº Parterre ,65 - Antonio Maura,Calle Antonio Maura nº 15,6
General Francisco Morazán,Monuments,Pza Honduras ,65 - Antonio Maura,Calle Antonio Maura nº 15,6
Joaquín Turina,Monuments,C Alfonso XII 7,65 - Antonio Maura,Calle Antonio Maura nº 15,6
Antonio Maura,Monuments,C Antonio Maura 18,65 - Antonio Maura,Calle Antonio Maura nº 15,6
Mujer sedente,Monuments, ,65 - Antonio Maura,Calle Antonio Maura nº 15,6
Dimitar Dimov,Monuments,Pza Lealtad 2,65 - Antonio Maura,Calle Antonio Maura nº 15,6
Pedestal del paseo de los Reyes,Monuments,Pº República Argentina ,65 - Antonio Maura,Calle Antonio Maura nº 15,6
Escuela de Estudios Superiores del Magisterio,Monuments,C Montalbán 12,65 - Antonio Maura,Calle Antonio Maura nº 15,6
Mariscal Francisco Solano López,Monuments,Pº Paraguay ,65 - Antonio Maura,Calle Antonio Maura nº 15,6
Carlos Linneo (Carl von Linne),Monuments,Pza Murillo 2,69 - Puerta del Ángel Caído,Avenida de Alfonso XII nº 54,5
Pío Baroja,Monuments,C Claudio Moyano ,69 - Puerta del Ángel Caído,Avenida de Alfonso XII nº 54,5
José Anselmo Clavé,Monuments,C José Anselmo Clavé 1,69 - Puerta del Ángel Caído,Avenida de Alfonso XII nº 54,5
Puerta del Ángel Caído del Retiro,Monuments,C Alfonso XII 5,69 - Puerta del Ángel Caído,Avenida de Alfonso XII nº 54,5
Noria de la Fábrica de Porcelana,Monuments,Pº Duque de Fernán Núñez ,69 - Puerta del Ángel Caído,Avenida de Alfonso XII nº 54,5
Juantxu Rodríguez,Monuments, ,69 - Puerta del Ángel Caído,Avenida de Alfonso XII nº 54,5
Madre e hija,Monuments,C Portal de Belén ,83 - Pío Baroja,Calle Pío Baroja nº 10,14
Gerardo Diego,Monuments,C Pío Baroja 4,83 - Pío Baroja,Calle Pío Baroja nº 10,14
Dos Niños,Monuments,C Portal de Belén ,83 - Pío Baroja,Calle Pío Baroja nº 10,14
Alfonso X El Sabio,Monuments,PASEO RECOLETOS 20,94 - Biblioteca Nacional,Paseo de Recoletos nº 20,15
Muñoz Degraín,Monuments,Pº Recoletos 20,94 - Biblioteca Nacional,Paseo de Recoletos nº 20,15
Cervantes,Monuments,Pº Recoletos 20,94 - Biblioteca Nacional,Paseo de Recoletos nº 20,15
Lope de Vega,Monuments,Pº Recoletos 20,94 - Biblioteca Nacional,Paseo de Recoletos nº 20,15
Luis Vives,Monuments,Pº Recoletos 20,94 - Biblioteca Nacional,Paseo de Recoletos nº 20,15
Nebrija,Monuments,Pº Recoletos 20,94 - Biblioteca Nacional,Paseo de Recoletos nº 20,15
San Isidoro,Monuments,Pº Recoletos 20,94 - Biblioteca Nacional,Paseo de Recoletos nº 20,15
Venus,Monuments,Pº Recoletos ,94 - Biblioteca Nacional,Paseo de Recoletos nº 20,15
Fuente del palacio del marqués de Salamanca,Monuments,Pº Recoletos ,94 - Biblioteca Nacional,Paseo de Recoletos nº 20,15
Dos fuentes circulares de la Fundación BBVA,Monuments,Pº Recoletos ,94 - Biblioteca Nacional,Paseo de Recoletos nº 20,15
Fuente octogonal del palacio del marqués de Salamanca,Monuments,Pº Recoletos ,94 - Biblioteca Nacional,Paseo de Recoletos nº 20,15
Puertas Biblioteca y Museo Arqueológico Nacionales,Monuments,Pº Recoletos 20,94 - Biblioteca Nacional,Paseo de Recoletos nº 20,15
Ramón María del Valle-Inclán,Monuments,Pº Recoletos ,94 - Biblioteca Nacional,Paseo de Recoletos nº 20,15
Juan Valera,Monuments,Pº Recoletos ,94 - Biblioteca Nacional,Paseo de Recoletos nº 20,15
Al Libro,Monuments,Pº Recoletos ,94 - Biblioteca Nacional,Paseo de Recoletos nº 20,15
Reloj de sol Recoletos,Monuments,Pº Recoletos ,94 - Biblioteca Nacional,Paseo de Recoletos nº 20,15
"A Marca, promotor de la San Silvestre Vallecana",Monuments,Pº Recoletos ,94 - Biblioteca Nacional,Paseo de Recoletos nº 20,15
Derechos del Niño,Monuments,Pº Recoletos ,94 - Biblioteca Nacional,Paseo de Recoletos nº 20,15
Berruguete,Monuments,C Serrano 13,107 - Columela,Calle Serrano nº 8,10
Miguel Moya,Monuments,C Serrano 4,107 - Columela,Calle Serrano nº 8,10
Campoamor,Monuments,C Recoletos 17,107 - Columela,Calle Serrano nº 8,10
Velázquez,Monuments,C Serrano 13,106b - Colón B,Calle Serrano nº 34,5
